iter	Passed	Remaining
0	16	20362
1	20	12050
2	28	11533
3	37	11220
4	46	11153
5	55	10995
6	63	10847
7	67	10064
8	75	10011
9	85	10164
10	94	10175
11	102	10191
12	111	10171
13	119	10155
14	128	10185
15	138	10234
16	146	10221
17	149	9848
18	158	9847
19	167	9859
20	169	9513
21	177	9510
22	183	9403
23	192	9443
24	197	9299
25	207	9369
26	217	9430
27	227	9534
28	238	9626
29	242	9438
30	246	9277
31	255	9339
32	267	9476
33	279	9581
34	291	9688
35	301	9735
36	309	9736
37	318	9726
38	326	9713
39	334	9700
40	344	9730
41	353	9739
42	362	9746
43	366	9619
44	374	9608
45	382	9607
46	391	9605
47	400	9613
48	409	9609
49	417	9610
50	427	9620
51	436	9626
52	444	9628
53	454	9638
54	462	9637
55	472	9656
56	481	9655
57	489	9642
58	498	9638
59	506	9630
60	515	9627
61	524	9630
62	534	9650
63	545	9676
64	554	9677
65	563	9678
66	576	9753
67	586	9757
68	596	9773
69	604	9751
70	613	9752
71	622	9753
72	630	9739
73	639	9735
74	648	9734
75	657	9720
76	666	9715
77	674	9700
78	683	9704
79	693	9702
80	702	9702
81	712	9711
82	721	9708
83	730	9711
84	740	9707
85	749	9705
86	757	9694
87	766	9690
88	774	9673
89	783	9668
90	791	9650
91	799	9629
92	808	9622
93	819	9636
94	827	9624
95	835	9611
96	844	9599
97	853	9595
98	862	9587
99	870	9577
100	881	9587
101	892	9605
102	900	9595
103	909	9586
104	917	9565
105	925	9556
106	934	9549
107	943	9539
108	953	9539
109	957	9485
110	965	9473
111	973	9461
112	981	9442
113	990	9433
114	998	9424
115	1007	9416
116	1015	9404
117	1025	9405
118	1035	9405
119	1043	9395
120	1051	9376
121	1060	9369
122	1068	9357
123	1077	9346
124	1086	9343
125	1094	9328
126	1102	9317
127	1111	9308
128	1121	9312
129	1129	9293
130	1137	9279
131	1145	9269
132	1153	9252
133	1162	9251
134	1171	9240
135	1179	9226
136	1187	9210
137	1194	9193
138	1202	9178
139	1210	9166
140	1220	9163
141	1228	9154
142	1236	9140
143	1245	9136
144	1254	9128
145	1262	9117
146	1272	9114
147	1280	9101
148	1288	9087
149	1296	9076
150	1299	9026
151	1307	9015
152	1315	8999
153	1323	8989
154	1332	8981
155	1341	8975
156	1350	8969
157	1359	8966
158	1370	8970
159	1379	8968
160	1388	8962
161	1397	8951
162	1406	8946
163	1416	8948
164	1427	8956
165	1438	8962
166	1446	8949
167	1455	8943
168	1464	8933
169	1472	8924
170	1481	8915
171	1490	8906
172	1498	8894
173	1508	8896
174	1518	8896
175	1528	8891
176	1537	8886
177	1545	8873
178	1554	8864
179	1563	8861
180	1573	8856
181	1582	8850
182	1590	8839
183	1599	8830
184	1609	8831
185	1619	8829
186	1629	8826
187	1639	8823
188	1648	8817
189	1658	8814
190	1667	8807
191	1677	8805
192	1686	8799
193	1694	8789
194	1704	8782
195	1714	8781
196	1724	8780
197	1733	8774
198	1742	8766
199	1753	8767
200	1767	8782
201	1776	8777
202	1786	8772
203	1794	8761
204	1803	8753
205	1813	8750
206	1823	8746
207	1832	8740
208	1841	8730
209	1849	8719
210	1858	8713
211	1868	8708
212	1877	8700
213	1886	8691
214	1895	8683
215	1904	8676
216	1914	8673
217	1923	8665
218	1932	8657
219	1941	8648
220	1951	8644
221	1960	8637
222	1970	8631
223	1979	8625
224	1988	8615
225	1996	8606
226	2006	8601
227	2016	8594
228	2025	8587
229	2034	8578
230	2042	8568
231	2044	8531
232	2054	8524
233	2064	8521
234	2073	8516
235	2082	8507
236	2090	8494
237	2093	8460
238	2101	8449
239	2109	8439
240	2117	8425
241	2126	8416
242	2134	8405
243	2142	8394
244	2151	8387
245	2160	8378
246	2169	8371
247	2179	8366
248	2187	8355
249	2196	8345
250	2206	8340
251	2214	8332
252	2224	8325
253	2232	8315
254	2240	8303
255	2250	8299
256	2260	8295
257	2270	8291
258	2279	8283
259	2287	8271
260	2296	8261
261	2306	8257
262	2315	8249
263	2323	8239
264	2331	8226
265	2340	8216
266	2348	8206
267	2357	8197
268	2365	8186
269	2374	8178
270	2382	8167
271	2390	8157
272	2399	8148
273	2407	8137
274	2417	8131
275	2427	8126
276	2435	8116
277	2444	8106
278	2453	8100
279	2463	8093
280	2472	8086
281	2480	8075
282	2488	8064
283	2498	8058
284	2507	8049
285	2516	8042
286	2525	8033
287	2533	8021
288	2541	8011
289	2550	8003
290	2558	7991
291	2566	7980
292	2575	7971
293	2583	7960
294	2590	7948
295	2599	7937
296	2606	7924
297	2615	7916
298	2624	7907
299	2632	7897
300	2640	7887
301	2649	7879
302	2658	7871
303	2667	7862
304	2676	7854
305	2684	7842
306	2694	7837
307	2704	7831
308	2712	7822
309	2721	7813
310	2730	7804
311	2738	7794
312	2748	7787
313	2758	7783
314	2767	7776
315	2775	7764
316	2783	7754
317	2793	7748
318	2803	7743
319	2812	7735
320	2821	7725
321	2829	7714
322	2837	7703
323	2846	7696
324	2856	7690
325	2865	7682
326	2874	7675
327	2882	7664
328	2892	7657
329	2901	7650
330	2911	7642
331	2919	7632
332	2927	7622
333	2936	7613
334	2944	7604
335	2956	7602
336	2965	7593
337	2973	7584
338	2981	7573
339	2991	7566
340	3000	7558
341	3009	7550
342	3019	7543
343	3027	7532
344	3035	7522
345	3044	7514
346	3053	7506
347	3062	7496
348	3070	7487
349	3078	7476
350	3086	7466
351	3097	7461
352	3105	7452
353	3114	7442
354	3121	7430
355	3129	7419
356	3137	7409
357	3146	7401
358	3155	7393
359	3164	7383
360	3172	7374
361	3180	7362
362	3189	7354
363	3198	7346
364	3206	7335
365	3214	7325
366	3223	7317
367	3231	7305
368	3239	7295
369	3248	7288
370	3256	7277
371	3265	7267
372	3273	7258
373	3283	7250
374	3292	7242
375	3301	7235
376	3310	7227
377	3319	7218
378	3327	7207
379	3336	7200
380	3345	7190
381	3355	7185
382	3362	7173
383	3370	7161
384	3379	7154
385	3388	7144
386	3396	7134
387	3404	7125
388	3412	7113
389	3419	7101
390	3425	7088
391	3434	7079
392	3442	7069
393	3449	7057
394	3457	7045
395	3464	7034
396	3471	7020
397	3478	7008
398	3486	6998
399	3494	6988
400	3501	6976
401	3508	6965
402	3515	6953
403	3522	6940
404	3529	6927
405	3536	6917
406	3544	6906
407	3551	6893
408	3558	6882
409	3565	6870
410	3572	6858
411	3579	6845
412	3586	6834
413	3593	6823
414	3601	6813
415	3609	6802
416	3616	6791
417	3623	6778
418	3632	6770
419	3639	6759
420	3648	6750
421	3656	6741
422	3664	6730
423	3671	6718
424	3678	6708
425	3686	6698
426	3693	6687
427	3701	6675
428	3707	6663
429	3714	6652
430	3722	6641
431	3729	6631
432	3737	6620
433	3745	6610
434	3752	6599
435	3759	6588
436	3766	6577
437	3774	6565
438	3782	6556
439	3789	6546
440	3796	6534
441	3805	6525
442	3812	6514
443	3819	6503
444	3826	6491
445	3834	6482
446	3841	6471
447	3849	6461
448	3858	6453
449	3867	6445
450	3875	6436
451	3884	6428
452	3894	6421
453	3902	6412
454	3910	6402
455	3918	6392
456	3929	6388
457	3938	6380
458	3945	6369
459	3953	6359
460	3960	6349
461	3968	6339
462	3975	6328
463	3982	6317
464	3989	6306
465	3996	6294
466	4004	6284
467	4012	6276
468	4020	6267
469	4028	6256
470	4035	6246
471	4042	6235
472	4049	6224
473	4057	6214
474	4064	6204
475	4072	6194
476	4081	6186
477	4089	6176
478	4096	6165
479	4103	6155
480	4112	6147
481	4121	6140
482	4130	6132
483	4140	6124
484	4148	6115
485	4157	6107
486	4166	6100
487	4174	6090
488	4183	6082
489	4190	6072
490	4198	6062
491	4205	6051
492	4213	6042
493	4221	6032
494	4228	6022
495	4236	6012
496	4243	6002
497	4250	5992
498	4259	5983
499	4267	5974
500	4275	5964
501	4283	5955
502	4291	5946
503	4298	5935
504	4305	5926
505	4313	5916
506	4321	5906
507	4328	5896
508	4335	5885
509	4343	5875
510	4351	5866
511	4358	5857
512	4368	5850
513	4377	5842
514	4384	5832
515	4392	5822
516	4399	5812
517	4408	5803
518	4416	5794
519	4424	5785
520	4432	5777
521	4440	5767
522	4448	5757
523	4455	5748
524	4463	5739
525	4471	5729
526	4479	5720
527	4486	5710
528	4494	5700
529	4502	5691
530	4509	5681
531	4517	5672
532	4524	5662
533	4531	5651
534	4537	5639
535	4543	5628
536	4550	5618
537	4558	5608
538	4565	5599
539	4572	5588
540	4579	5578
541	4585	5567
542	4592	5556
543	4599	5547
544	4607	5537
545	4614	5527
546	4621	5516
547	4628	5506
548	4635	5496
549	4642	5486
550	4649	5476
551	4656	5466
552	4663	5455
553	4669	5444
554	4676	5434
555	4683	5424
556	4689	5413
557	4696	5403
558	4703	5393
559	4710	5383
560	4718	5374
561	4725	5365
562	4733	5355
563	4737	5342
564	4744	5332
565	4751	5322
566	4758	5312
567	4766	5303
568	4774	5294
569	4780	5284
570	4787	5273
571	4794	5263
572	4801	5254
573	4808	5244
574	4815	5234
575	4822	5223
576	4828	5213
577	4835	5203
578	4842	5193
579	4849	5184
580	4857	5174
581	4864	5165
582	4871	5155
583	4878	5145
584	4885	5136
585	4893	5127
586	4901	5118
587	4908	5108
588	4915	5099
589	4922	5089
590	4930	5080
591	4937	5071
592	4944	5061
593	4952	5052
594	4959	5042
595	4967	5033
596	4974	5024
597	4981	5014
598	4989	5005
599	4997	4997
600	5005	4988
601	5012	4979
602	5020	4970
603	5027	4960
604	5034	4950
605	5041	4941
606	5049	4933
607	5057	4924
608	5065	4915
609	5072	4906
610	5079	4896
611	5086	4886
612	5094	4878
613	5103	4871
614	5112	4863
615	5119	4853
616	5127	4845
617	5134	4835
618	5142	4826
619	5150	4818
620	5159	4810
621	5168	4802
622	5180	4797
623	5187	4788
624	5195	4780
625	5203	4771
626	5210	4761
627	5217	4752
628	5223	4742
629	5230	4732
630	5237	4723
631	5245	4713
632	5251	4704
633	5259	4695
634	5267	4686
635	5274	4677
636	5281	4667
637	5289	4659
638	5295	4649
639	5303	4640
640	5307	4628
641	5314	4618
642	5320	4608
643	5327	4599
644	5334	4589
645	5341	4580
646	5348	4571
647	5355	4562
648	5362	4553
649	5369	4543
650	5376	4533
651	5383	4524
652	5390	4515
653	5397	4506
654	5404	4497
655	5411	4487
656	5419	4479
657	5426	4470
658	5433	4460
659	5442	4452
660	5449	4443
661	5456	4434
