home_ownership,annual_income,tax_liens,number_of_open_accounts,years_of_credit_history,maximum_open_credit,number_of_credit_problems,months_since_last_delinquent,bankruptcies,purpose,term,current_loan_amount,current_credit_balance,monthly_debt,credit_score,credit_default,credit_score_outlier,annual_income_outlier,current_loan_amount_outlier,maximum_open_credit_outlier,current_credit_balance_outlier,annual_income_na,years_in_current_job_na,months_since_last_delinquent_na,bankruptcies_na,credit_score_na,monthly_debt_categories,years_in_current_job,years_of_credit_history_categories,home_ownership_have_mortgage,home_ownership_home_mortgage,home_ownership_own_home,home_ownership_rent,purpose_business_loan,purpose_buy_a_car,purpose_buy_house,purpose_debt_consolidation,purpose_educational_expenses,purpose_home_improvements,purpose_major_purchase,purpose_medical_bills,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_take_a_trip,purpose_vacation,purpose_wedding,term_long_term,term_short_term
Own Home,-1.354491737842525,-0.11095342154390785,-0.026674289431710546,1.133644851182116,0.28337672022404814,1.6647792271904904,-0.6983066109996929,2.545731972691612,debt consolidation,Short Term,0.002829760687826769,-1.0831728892653743,-0.8720845805099383,1.2320125667283253,0,0,0,1,0,0,0,1,1,0,0,-0.7828677136193471,0.31164418971279223,1.451510527245306,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Own Home,-0.4531860300183481,-0.11095342154390785,0.7882225363842952,-0.42852756229605427,1.5006064807567716,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Long Term,-0.25743630229652625,0.774197367275631,0.004909107517618331,0.6922128704976795,1,0,0,0,0,0,0,0,1,0,0,0.5803799882950024,1.1598351015959207,-0.7211203178198473,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Home Mortgage,-0.9077781571289687,-0.11095342154390785,-0.026674289431710546,2.369181214569396,1.5023349632212513,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,0.002829760687826769,0.31153003049541017,-0.3910335442527347,0.917129410593782,0,0,0,1,0,0,0,0,1,0,0,-0.7828677136193471,0.5943744936738351,2.1757208089336904,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Own Home,-0.8187820970277283,-0.11095342154390785,-0.6378469087937149,0.5939852901623843,-1.0389123651028245,1.6647792271904904,-0.6983066109996929,2.545731972691612,debt consolidation,Short Term,-1.0951656867778519,-0.8241725872846097,-0.5849800401326217,-1.242069374328801,0,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,0.028913885751749396,0.7273002455569214,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,-0.8665576023795274,-0.11095342154390785,0.3807741234762923,-0.669954208015408,-0.45349696041439935,1.6647792271904904,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,-1.069235356458326,-0.837777463986069,-0.9336309393408233,-0.11748667384828905,0,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,0.5943744936738351,-0.7211203178198473,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,0.2957474084710762,-0.11095342154390785,0.1770499170222909,-0.5279385340628471,-0.5002740171093778,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,other,Long Term,0.16463758924110766,-0.4510537673005607,0.03165745692777137,-0.3584199978603268,1,0,0,0,0,0,1,0,1,0,1,0.5803799882950024,0.31164418971279223,-0.7211203178198473,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Home Mortgage,0.35228503943193623,-0.11095342154390785,-0.4341227023397134,0.2815508074667503,-0.44787939240484076,-0.3409788778582933,2.5249458678167356,-0.3370990397177327,home improvements,Short Term,0.002829760687826769,-1.0605319377398115,-1.3413965292517143,1.0520793346514434,0,0,0,1,0,0,0,0,0,0,0,-0.7828677136193471,1.1598351015959207,0.003089963868537088,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Rent,-0.4290146496721543,-0.11095342154390785,0.3807741234762923,-0.8971792863395054,-0.5896689695691807,-0.3409788778582933,0.09646797281805658,-0.3370990397177327,other,Short Term,-0.3395918042989854,-0.8607230023034554,0.12129377517057259,-0.7472529861173758,1,0,0,0,0,0,0,0,0,0,0,0.5803799882950024,1.1598351015959207,-0.7211203178198473,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Home Mortgage,0.6186429360238922,-0.11095342154390785,1.1956709492922981,-0.3717212927150301,-1.4008133811032348,1.6647792271904904,-0.6983066109996929,2.545731972691612,home improvements,Short Term,-1.0465142254357707,-1.3362845132708803,-1.5342529670051688,0.14058686754759483,0,0,0,0,0,0,1,0,1,0,1,-0.7828677136193471,-0.25381641820929346,-0.7211203178198473,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Home Mortgage,0.3783787850990138,-0.11095342154390785,-0.23039849588571198,0.8922182054627624,-0.14544897619793065,-0.3409788778582933,-0.43338174972710974,-0.3370990397177327,debt consolidation,Long Term,1.5392018321197525,-0.23916288912186393,-0.05881736756613184,-0.3584199978603268,1,0,0,0,0,0,1,0,0,0,1,0.5803799882950024,-1.3847376340534647,0.7273002455569214,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Home Mortgage,1.6114343246107818,-0.11095342154390785,-0.8415711152477163,-0.9681871233157859,-0.7714837188016256,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,-0.5148140859136053,-0.33449855496268627,-0.3121301060240388,0.14058686754759483,0,0,0,0,0,0,1,0,1,0,1,-0.7828677136193471,-1.6674679380145077,-0.7211203178198473,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Home Mortgage,0.8788240522405497,-0.11095342154390785,0.1770499170222909,-0.10189151220516404,0.659321656248355,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,0.7702776805654863,0.8166364602697351,-0.2336459209208938,0.6922128704976795,0,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,-0.5365467221703363,0.003089963868537088,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Home Mortgage,-0.6058722591934578,-0.11095342154390785,-0.6378469087937149,-0.6131479384343835,-0.3116533681730445,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,0.16733331665056334,0.3484865612366874,0.09488082826086035,-0.7022696780981552,0,0,0,0,0,0,0,0,1,0,0,0.5803799882950024,1.1598351015959207,-0.7211203178198473,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,1.273255599063186,-0.11095342154390785,-0.026674289431710546,-0.08768994480990826,2.6602021541145042,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Long Term,1.404415461646968,-0.21784181369420397,0.2980508929028691,0.28736309832469525,1,0,0,0,0,1,0,0,1,0,0,0.5803799882950024,1.1598351015959207,0.003089963868537088,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Own Home,1.5924312707010622,-0.11095342154390785,-0.026674289431710546,-0.08768994480990826,2.5338068738994357,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,other,Short Term,-0.7225134644135723,-0.21784181369420397,3.3571732487982078,1.1870292587091047,0,0,0,0,0,1,0,0,1,0,0,3.3068753921237017,0.31164418971279223,0.003089963868537088,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Rent,-0.7468036971441473,-0.11095342154390785,-0.4341227023397134,0.011721026956884288,-0.6736083992504699,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Short Term,-0.956656645120581,-1.1149514445456483,-0.4507351893311954,0.24237979030547477,0,0,0,0,0,0,0,0,1,0,0,-0.7828677136193471,1.1598351015959207,0.003089963868537088,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Rent,0.2957474084710762,-0.11095342154390785,-1.0452953217017178,-0.07348837741465196,0.8076470577315084,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Long Term,0.023047716258744452,1.5403346776428786,0.044402751944521396,-0.3584199978603268,1,0,0,0,0,0,1,0,1,0,1,0.5803799882950024,0.31164418971279223,0.003089963868537088,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Home Mortgage,3.422081857584141,-0.11095342154390785,0.5844983299302937,1.4460793338777498,1.1577727869426515,-0.3409788778582933,-0.6983066109996929,-0.3370990397177327,debt consolidation,Long Term,1.1073719747193265,2.3474896759757193,2.845432883750672,-3.4912347752898247,1,0,0,0,0,0,0,0,1,0,0,3.3068753921237017,-0.8192770261313791,1.451510527245306,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
