iter	Passed	Remaining
0	0	191
1	1	184
2	1	189
3	2	184
4	2	186
5	3	189
6	3	188
7	4	182
8	4	176
9	5	172
10	5	170
11	6	170
12	6	173
13	7	179
14	8	181
15	8	183
16	9	182
17	9	181
18	10	179
19	10	177
20	11	174
21	11	171
22	12	171
23	12	169
24	12	167
25	13	166
26	13	165
27	14	166
28	15	167
29	15	167
30	16	165
31	16	165
32	17	164
33	17	162
34	17	160
35	18	159
36	18	159
37	19	158
38	19	157
39	20	156
40	20	155
41	21	155
42	21	153
43	21	152
44	22	151
45	22	150
46	23	150
47	23	149
48	24	150
49	24	149
50	25	147
51	25	147
52	26	146
53	26	146
54	27	146
55	27	145
56	28	146
57	28	145
58	29	146
59	30	145
60	30	145
61	31	146
62	31	145
63	32	144
64	32	143
65	33	142
66	33	141
67	33	140
68	34	139
69	34	138
70	35	137
71	35	137
72	35	136
73	36	135
74	36	134
75	37	133
76	37	133
77	37	132
78	38	131
79	38	130
80	39	129
81	39	128
82	39	127
83	40	127
84	40	127
85	41	126
86	41	125
87	42	125
88	42	125
89	43	124
90	43	123
91	43	122
92	44	122
93	44	121
94	44	120
95	45	120
96	45	119
97	46	118
98	46	117
99	46	116
100	47	116
101	47	115
102	48	115
103	48	114
104	48	113
105	49	113
106	49	112
107	49	111
108	50	111
109	50	110
110	51	109
111	51	109
112	51	108
113	52	108
114	52	108
115	53	107
116	53	106
117	54	106
118	54	105
119	54	105
120	55	104
121	55	104
122	56	103
123	56	103
124	57	102
125	57	102
126	57	101
127	58	100
128	58	100
129	58	99
130	59	99
131	59	98
132	60	97
133	60	97
134	60	96
135	61	96
136	61	95
137	61	95
138	62	94
139	62	94
140	63	93
141	63	93
142	64	93
143	64	92
144	65	92
145	65	91
146	65	91
147	66	90
148	66	90
149	67	89
150	67	89
151	68	88
152	68	88
153	68	87
154	69	87
155	70	87
156	70	87
157	71	86
158	71	86
159	72	85
160	72	85
161	79	92
162	80	91
163	80	91
164	81	90
165	81	90
166	81	89
167	82	89
168	82	88
169	82	87
170	83	87
171	83	86
172	84	86
173	84	85
174	85	85
175	85	84
176	86	84
177	86	83
178	87	83
179	87	82
180	88	82
181	88	81
182	89	81
183	89	81
184	90	80
185	90	79
186	91	79
187	91	78
188	91	78
189	92	77
190	92	77
191	92	76
192	93	75
193	93	75
194	93	74
195	94	73
196	94	73
197	94	72
198	95	72
199	95	71
200	95	70
201	95	70
202	96	70
203	97	69
204	97	69
205	98	68
206	98	68
207	99	67
208	100	67
209	100	67
210	101	66
211	101	66
212	102	65
213	102	65
214	103	64
215	103	64
216	103	63
217	104	63
218	105	62
219	106	62
220	107	62
221	109	63
222	110	62
223	111	62
224	111	61
225	112	61
226	112	61
227	113	60
228	114	60
229	114	59
230	115	59
231	115	58
232	115	58
233	116	57
234	116	57
235	117	56
236	117	56
237	118	55
238	118	55
239	118	54
240	119	54
241	120	53
242	120	53
243	120	52
244	121	51
245	121	51
246	121	50
247	122	50
248	122	49
249	123	49
250	123	48
251	123	48
252	124	47
253	124	47
254	125	46
255	125	46
256	126	45
257	126	45
258	126	44
259	127	44
260	127	43
261	127	42
262	128	42
263	128	41
264	129	41
265	129	40
266	129	40
267	130	39
268	130	39
269	131	38
270	131	38
271	132	37
272	132	37
273	133	36
274	133	36
275	134	35
276	134	35
277	134	34
278	135	34
279	135	33
280	135	33
281	136	32
282	136	32
283	137	31
284	137	31
285	137	30
286	138	30
287	138	29
288	139	29
289	139	28
290	140	28
291	140	27
292	140	27
293	141	26
294	141	26
295	142	25
296	142	25
297	143	24
298	143	24
299	143	23
300	144	23
301	144	23
302	145	22
303	145	22
304	145	21
305	146	21
306	146	20
307	147	20
308	147	19
309	148	19
310	148	18
311	149	18
312	149	17
313	149	17
314	150	16
315	150	16
316	150	15
317	151	15
318	151	14
319	151	14
320	156	14
321	157	13
322	157	13
323	158	12
324	158	12
325	159	11
326	159	11
327	190	12
328	190	12
329	191	11
330	191	11
331	192	10
332	192	9
333	193	9
334	193	8
335	194	8
336	194	7
337	195	6
338	195	6
339	196	5
340	196	5
341	196	4
342	197	4
343	197	3
344	197	2
345	198	2
346	198	1
347	199	1
348	199	0
349	200	0
