iter	MultiClass
0	1.622930405
1	1.419701074
2	1.257938255
3	1.134644794
4	1.035816287
5	0.9589049947
6	0.8929733091
7	0.8397041318
8	0.7912171882
9	0.7494638809
10	0.7118823484
11	0.6775280991
12	0.6472181452
13	0.6209622304
14	0.5976479636
15	0.577993384
16	0.5612600445
17	0.544242849
18	0.5302946933
19	0.515881177
20	0.5036061063
21	0.4928838281
22	0.4820349421
23	0.4743415694
24	0.4650411876
25	0.4563480837
26	0.4477743214
27	0.4406890833
28	0.4339137093
29	0.4283461992
30	0.4227375775
31	0.4163040411
32	0.4116011561
33	0.4075294012
34	0.4018396775
35	0.3975058161
36	0.3938336199
37	0.3897701498
38	0.3865745113
39	0.3836178799
40	0.3803338459
41	0.3780251
42	0.3750427756
43	0.3712098151
44	0.3690312863
45	0.3667461274
46	0.3647549613
47	0.3632775783
48	0.3614724229
49	0.359770135
50	0.3580978001
51	0.3557592459
52	0.3535610741
53	0.3522721546
54	0.3500462126
55	0.3485488958
56	0.3470863156
57	0.3455594611
58	0.3432102599
59	0.3418338194
60	0.3404233531
61	0.3388136409
62	0.3368635825
63	0.3359516644
64	0.3341014341
65	0.3329175779
66	0.331841573
67	0.3308931326
68	0.3290212938
69	0.3275831567
70	0.3258759306
71	0.3241145719
72	0.3229325214
73	0.321873706
74	0.3206261398
75	0.3193424404
76	0.3178642103
77	0.3168949191
78	0.3161121965
79	0.3148181813
80	0.3137061966
81	0.3128396426
82	0.3118257842
83	0.3108622721
84	0.3098362223
85	0.309146583
86	0.3079816815
87	0.3071739296
88	0.3064243137
89	0.3055085929
90	0.3046858293
91	0.3032318854
92	0.3025158714
93	0.302006514
94	0.3010886076
95	0.3005107281
96	0.2997124872
97	0.2990447108
98	0.2982631655
99	0.2974678915
100	0.2966054431
101	0.2956365318
102	0.2953072097
103	0.2947846095
104	0.2942344449
105	0.2934136305
106	0.2929109012
107	0.2922481107
108	0.2916958059
109	0.2910413149
110	0.2900494236
111	0.2897204325
112	0.289334359
113	0.2886434355
114	0.2882831203
115	0.288074207
116	0.2878233689
117	0.2876614133
118	0.2872150271
119	0.2867845944
120	0.286507503
121	0.2859850844
122	0.285913908
123	0.2854669664
124	0.2851985419
125	0.2846342708
126	0.2843758434
127	0.283868554
128	0.2835970019
129	0.2831258539
130	0.2827962889
131	0.2824417776
132	0.282119835
133	0.281594885
134	0.2807727386
135	0.2800225643
136	0.2794503398
137	0.2793012439
138	0.2786435958
