iter	Passed	Remaining
0	63	38213
1	68	20589
2	74	14748
3	79	11848
4	84	10064
5	89	8871
6	94	8036
7	99	7384
8	104	6883
9	110	6505
10	116	6211
11	122	5979
12	127	5760
13	133	5570
14	138	5392
15	143	5235
16	148	5095
17	153	4976
18	159	4863
19	164	4758
20	169	4668
21	174	4585
22	179	4512
23	185	4452
24	191	4400
25	196	4344
26	202	4289
27	207	4238
28	213	4196
29	218	4160
30	224	4115
31	229	4077
32	235	4044
33	241	4015
34	246	3981
35	252	3953
36	258	3932
37	264	3913
38	270	3885
39	275	3853
40	280	3824
41	285	3793
42	291	3770
43	296	3746
44	301	3721
45	307	3702
46	313	3688
47	319	3674
48	325	3663
49	331	3648
50	337	3635
51	343	3615
52	348	3596
53	354	3582
54	360	3571
55	366	3555
56	371	3538
57	377	3523
58	382	3507
59	387	3491
60	392	3472
61	398	3457
62	403	3442
63	409	3426
64	414	3412
65	420	3399
66	425	3385
67	430	3369
68	436	3359
69	442	3346
70	447	3332
71	452	3317
72	457	3304
73	463	3291
74	468	3277
75	473	3266
76	478	3252
77	484	3241
78	489	3230
79	495	3218
80	500	3207
81	505	3193
82	511	3184
83	516	3175
84	522	3163
85	527	3151
86	532	3140
87	538	3134
88	544	3128
89	552	3128
90	558	3124
91	565	3121
92	571	3115
93	578	3111
94	584	3106
95	590	3101
96	597	3097
97	603	3093
98	609	3084
99	615	3077
100	621	3072
101	628	3068
102	634	3060
103	640	3053
104	646	3046
105	652	3041
106	658	3034
107	665	3032
108	672	3030
109	680	3029
110	688	3032
111	694	3027
112	701	3024
113	708	3019
114	714	3011
115	719	3002
116	724	2992
117	730	2984
118	736	2978
119	742	2970
120	748	2962
121	754	2954
122	759	2944
123	765	2939
124	771	2932
125	777	2926
126	783	2919
127	790	2915
128	796	2909
129	802	2902
130	808	2896
131	815	2892
132	821	2885
133	828	2881
134	834	2875
135	842	2873
136	849	2871
137	856	2868
138	863	2862
139	869	2856
140	875	2851
141	881	2843
142	886	2834
143	892	2826
144	898	2819
145	905	2815
146	911	2807
147	917	2800
148	922	2792
149	927	2783
150	933	2774
151	938	2765
152	943	2756
153	949	2748
154	955	2742
155	961	2736
156	967	2730
157	972	2720
158	978	2713
159	983	2705
160	989	2699
161	1095	2961
162	1138	3052
