iter	Passed	Remaining
0	86	86731
1	108	54324
2	135	44926
3	160	39855
4	184	36693
5	243	40356
6	272	38684
7	293	36439
8	316	34902
9	337	33417
10	358	32270
11	378	31155
12	399	30363
13	422	29721
14	444	29160
15	464	28582
16	484	27991
17	504	27522
18	527	27213
19	547	26804
20	568	26484
21	589	26188
22	609	25905
23	630	25622
24	650	25381
25	670	25132
26	690	24895
27	711	24691
28	732	24531
29	753	24372
30	773	24183
31	794	24044
32	815	23890
33	835	23748
34	855	23589
35	875	23453
36	897	23362
37	918	23258
38	938	23114
39	962	23095
40	982	22970
41	1003	22888
42	1030	22930
43	1059	23014
44	1086	23056
45	1113	23101
46	1154	23402
47	1182	23452
48	1207	23440
49	1236	23489
50	1265	23547
51	1300	23702
52	1339	23941
53	1417	24840
54	1449	24911
55	1471	24802
56	1498	24790
57	1532	24895
58	1555	24812
59	1576	24701
60	1595	24560
61	1616	24450
62	1637	24355
63	1657	24245
64	1676	24116
65	1695	23990
66	1715	23891
67	1737	23811
68	1757	23712
69	1777	23612
70	1797	23521
71	1818	23443
72	1837	23337
73	1856	23235
74	1876	23142
75	1895	23043
76	1916	22967
77	1935	22883
78	1954	22783
79	1972	22686
80	1994	22630
81	2014	22556
82	2036	22497
83	2055	22413
84	2074	22326
85	2094	22258
86	2114	22184
87	2134	22122
88	2153	22043
89	2172	21966
90	2191	21887
91	2209	21811
92	2229	21748
93	2250	21691
94	2269	21619
95	2288	21553
96	2307	21478
97	2325	21400
98	2345	21346
99	2365	21287
100	2384	21226
101	2407	21191
102	2426	21131
103	2446	21081
104	2469	21052
105	2487	20977
106	2505	20913
107	2526	20870
108	2546	20816
109	2566	20762
110	2584	20702
111	2604	20647
112	2623	20596
113	2642	20539
114	2661	20481
115	2681	20434
116	2700	20382
117	2721	20338
118	2741	20296
119	2761	20250
120	2781	20209
121	2803	20172
122	2823	20134
123	2843	20091
124	2868	20079
125	2891	20054
126	2912	20023
127	2934	19992
128	2955	19954
129	2975	19914
130	2995	19870
131	3015	19828
132	3035	19789
133	3056	19751
134	3076	19713
135	3095	19666
136	3115	19626
137	3134	19580
138	3154	19541
139	3174	19501
140	3196	19476
141	3218	19448
142	3239	19411
143	3258	19371
144	3278	19330
145	3296	19282
146	3316	19245
147	3336	19206
148	3356	19171
149	3378	19143
150	3401	19122
151	3422	19093
152	3442	19059
153	3465	19037
154	3485	19000
155	3505	18968
156	3524	18923
157	3546	18899
158	3567	18870
159	3586	18831
160	3607	18800
161	3628	18769
162	3647	18729
163	3667	18697
164	3685	18652
165	3705	18618
166	3725	18580
167	3745	18548
168	3765	18513
169	3783	18473
170	3805	18448
171	3825	18416
172	3844	18379
173	3866	18356
174	3888	18331
175	3908	18299
176	3928	18267
177	3948	18232
178	3971	18214
179	3992	18188
180	4012	18157
181	4035	18137
182	4055	18104
183	4075	18074
184	4096	18047
185	4116	18014
186	4134	17976
187	4156	17952
188	4176	17921
189	4195	17886
190	4217	17864
191	4239	17839
192	4261	17817
193	4282	17790
194	4301	17759
195	4322	17731
196	4340	17693
197	4361	17667
198	4382	17639
199	4403	17612
200	4422	17580
201	4440	17543
202	4460	17510
203	4479	17478
204	4498	17443
205	4517	17412
206	4537	17384
207	4556	17348
208	4576	17319
209	4595	17289
210	4615	17259
211	4635	17231
212	4654	17196
213	4674	17167
214	4692	17132
215	4711	17100
216	4731	17071
217	4749	17036
218	4769	17010
219	4789	16980
220	4808	16948
221	4828	16920
222	4847	16888
223	4866	16858
224	4885	16827
225	4906	16802
226	4924	16770
227	4943	16738
228	4964	16712
229	4983	16685
230	5004	16658
231	5023	16628
232	5043	16600
233	5060	16565
234	5080	16537
235	5099	16507
236	5118	16480
237	5137	16449
238	5157	16422
239	5176	16392
240	5197	16369
241	5217	16341
242	5235	16310
243	5257	16289
244	5277	16262
245	5296	16233
246	5317	16209
247	5337	16183
248	5357	16157
249	5378	16134
250	5398	16109
251	5419	16086
252	5439	16061
253	5459	16034
254	5480	16012
255	5500	15986
256	5520	15959
257	5541	15937
258	5566	15926
259	5587	15901
260	5607	15876
261	5627	15850
262	5646	15823
263	5666	15797
264	5687	15773
265	5705	15745
266	5726	15721
267	5745	15693
268	5764	15666
269	5785	15641
270	5804	15614
271	5824	15588
272	5843	15561
273	5861	15532
274	5881	15505
275	5901	15479
276	5919	15451
277	5938	15422
278	5957	15395
279	5977	15371
280	5998	15348
281	6018	15323
282	6037	15296
283	6055	15265
284	6078	15248
285	6097	15221
286	6116	15194
287	6135	15168
288	6153	15139
289	6173	15115
290	6194	15091
291	6215	15070
292	6234	15043
293	6255	15021
294	6275	14998
295	6295	14973
296	6315	14948
297	6334	14923
298	6355	14900
299	6374	14872
300	6393	14847
301	6414	14824
302	6432	14795
303	6452	14772
304	6470	14745
305	6492	14723
306	6511	14697
307	6529	14670
308	6551	14649
309	6571	14627
310	6590	14601
311	6610	14576
312	6629	14551
313	6648	14524
314	6665	14495
315	6684	14469
316	6704	14445
317	6722	14416
318	6741	14391
319	6758	14362
320	6777	14336
321	6798	14315
322	6817	14289
323	6836	14263
324	6854	14235
325	6872	14207
326	6892	14184
327	6911	14160
328	6931	14137
329	6950	14111
330	6970	14088
331	6989	14063
332	7008	14038
333	7027	14013
334	7046	13987
335	7065	13961
336	7084	13937
337	7103	13912
338	7121	13886
339	7139	13859
340	7160	13838
341	7180	13814
342	7200	13792
343	7219	13767
344	7238	13743
345	7257	13717
346	7276	13693
347	7295	13668
348	7314	13644
349	7334	13622
350	7353	13597
351	7373	13573
352	7392	13550
353	7414	13530
354	7433	13506
355	7454	13484
356	7476	13465
357	7495	13441
358	7517	13422
359	7536	13398
360	7555	13373
361	7574	13348
362	7591	13321
363	7610	13297
364	7629	13272
365	7649	13250
366	7667	13225
367	7686	13201
368	7706	13177
369	7725	13153
370	7744	13129
371	7763	13106
372	7784	13085
373	7802	13059
374	7821	13036
375	7840	13011
376	7859	12987
377	7878	12964
378	7897	12940
379	7915	12915
380	7935	12892
381	7955	12870
382	7974	12846
383	7992	12820
384	8011	12797
385	8029	12772
386	8047	12747
387	8066	12723
388	8085	12699
389	8105	12677
390	8123	12653
391	8143	12630
392	8165	12611
393	8185	12590
394	8206	12569
395	8225	12545
396	8245	12524
397	8264	12499
398	8284	12478
399	8304	12457
400	8326	12437
401	8344	12413
402	8364	12390
403	8383	12367
404	8402	12343
405	8420	12319
406	8439	12296
407	8458	12272
408	8476	12249
409	8497	12227
410	8517	12206
411	8538	12185
412	8555	12160
413	8576	12139
414	8594	12115
415	8614	12092
416	8634	12071
417	8652	12046
418	8671	12023
419	8690	12000
420	8709	11978
421	8728	11955
422	8747	11932
423	8766	11909
424	8785	11886
425	8804	11863
426	8825	11843
427	8845	11821
428	8864	11798
429	8884	11777
430	8904	11755
431	8926	11736
432	8944	11712
433	8963	11689
434	8981	11665
435	9000	11642
436	9019	11619
437	9037	11596
438	9057	11573
439	9075	11550
440	9094	11528
441	9115	11507
442	9133	11483
443	9152	11460
444	9172	11440
445	9191	11417
446	9210	11395
447	9232	11375
