iter	Passed	Remaining
0	0	586
1	1	582
2	1	605
3	2	621
4	3	621
5	3	617
6	4	601
7	5	694
8	6	683
9	6	671
10	7	658
11	7	646
12	8	635
13	8	626
14	9	617
15	9	610
16	10	601
17	10	592
18	11	583
19	11	574
20	12	567
21	12	554
22	12	549
23	13	543
24	13	539
25	14	535
26	14	531
27	15	527
28	15	523
29	16	519
30	16	515
31	16	512
32	17	509
33	17	507
34	18	508
35	18	501
36	19	498
37	19	498
38	20	497
39	20	497
40	21	497
41	21	497
42	22	496
43	22	497
44	23	497
45	23	497
46	24	497
47	25	497
48	25	495
49	26	494
50	26	492
51	26	490
52	27	488
53	27	486
54	28	486
55	28	484
56	29	483
57	29	482
58	30	480
59	30	479
60	31	478
61	31	477
62	32	476
63	32	476
64	33	476
65	33	477
66	34	477
67	34	477
68	35	476
69	35	477
70	36	477
71	37	477
72	37	476
73	38	476
74	38	475
75	39	474
76	39	473
77	39	472
78	40	472
79	40	471
80	41	470
81	41	469
82	42	468
83	42	468
84	43	467
85	43	466
86	44	464
87	44	464
88	45	464
89	45	463
90	46	461
91	46	460
92	47	460
93	47	459
94	48	459
95	48	459
96	49	458
97	49	457
98	50	457
99	50	456
100	51	455
101	51	455
102	52	455
103	52	454
104	53	454
105	53	453
106	54	453
107	54	453
108	55	452
109	55	451
110	56	451
111	56	450
112	57	450
113	57	449
114	58	448
115	58	447
116	59	447
117	59	446
118	60	447
119	60	446
120	61	446
121	61	446
122	62	445
123	62	445
124	63	445
125	64	444
126	64	444
127	65	444
128	65	444
129	66	443
130	66	443
131	67	443
132	67	442
133	68	442
134	69	442
135	69	442
136	70	441
137	70	441
138	71	440
139	71	439
140	72	438
141	72	438
142	73	437
143	73	438
144	74	438
145	74	437
146	75	437
147	75	436
148	76	436
149	76	434
150	77	433
151	77	433
152	78	432
153	78	432
154	79	431
155	79	431
156	80	431
157	80	430
158	81	428
159	81	428
160	82	427
161	82	427
162	83	426
163	83	426
164	84	426
165	85	430
166	86	430
167	86	429
168	87	429
169	87	428
170	88	427
171	88	427
172	89	426
173	89	425
174	90	425
175	90	424
176	91	423
177	91	423
178	92	422
179	92	422
180	93	422
181	93	421
182	94	421
183	94	420
184	95	420
185	96	420
186	96	420
187	97	419
188	97	418
189	98	418
190	98	418
191	99	417
192	99	417
193	100	417
194	100	416
195	101	415
196	101	415
197	102	414
198	102	414
199	103	413
200	103	412
201	104	412
202	104	412
203	105	411
204	105	410
205	106	410
206	106	409
207	107	409
208	108	408
209	108	408
210	109	407
211	109	406
212	110	406
213	110	406
214	111	405
215	111	405
216	112	405
217	112	404
218	113	404
219	113	403
220	114	403
221	114	402
222	115	402
223	116	401
224	116	401
225	117	400
226	117	400
227	117	399
228	118	398
229	118	398
230	119	397
231	120	397
232	120	396
233	120	396
234	121	395
235	121	394
236	122	394
237	122	393
238	123	393
239	124	392
240	124	392
241	125	392
242	125	391
243	126	391
244	126	390
