iter	Logloss
0	0.6780851172
1	0.6659478699
2	0.6539961568
3	0.6438363105
4	0.6334310781
5	0.6258824801
6	0.6165755386
7	0.6090107766
8	0.5998593622
9	0.5898421198
10	0.5820959416
11	0.5759620467
12	0.5688390892
13	0.5641786772
14	0.5586787877
15	0.5536285272
16	0.5486734007
17	0.5440214942
18	0.5389889053
19	0.5343479707
20	0.5302127016
21	0.5252897749
22	0.5221167434
23	0.5193143778
24	0.5157170277
25	0.5133503328
26	0.5102210846
27	0.5073754044
28	0.5048007339
29	0.5023736228
30	0.5000415855
31	0.4976222641
32	0.4949403309
33	0.4922907968
34	0.4903190322
35	0.4880570825
36	0.4857445928
37	0.4836568456
38	0.4817694428
39	0.4799394256
40	0.477261906
41	0.4748407621
42	0.4727779418
43	0.4714566842
44	0.4704078391
45	0.4692935363
46	0.4674489708
47	0.4659946436
48	0.4638492825
49	0.4627386481
50	0.4612858635
51	0.4600989639
52	0.4590430222
53	0.458148591
54	0.456887795
55	0.4558703992
56	0.4548164167
57	0.4538409238
58	0.4530105356
59	0.4516959582
60	0.4507605979
61	0.4498809797
62	0.4489145967
63	0.4480868073
64	0.4468606472
65	0.4459950399
66	0.4446729075
67	0.4441805225
68	0.4431836732
69	0.4426834897
70	0.4420281932
71	0.4408673099
72	0.4395270008
73	0.438982368
74	0.4379939187
75	0.4371490652
76	0.4364637521
77	0.4354250523
78	0.4344404531
79	0.4338456771
80	0.4334061476
81	0.4328394479
82	0.4320301092
83	0.430991745
84	0.4304552868
85	0.4299452623
86	0.4294251435
87	0.428956123
88	0.4284592878
89	0.4275396183
90	0.4271258567
91	0.4267515573
92	0.4260901751
93	0.4254541045
94	0.4249933523
95	0.4241780619
96	0.4232076597
97	0.4228259582
98	0.4222725741
99	0.4218256732
100	0.4214513209
101	0.4210329836
102	0.4206772633
103	0.4202689146
104	0.4199264167
105	0.419461167
106	0.4189901503
107	0.4185028817
108	0.4181223614
109	0.4177086887
110	0.4173538184
111	0.4168724993
112	0.4165397442
113	0.4161924472
114	0.4157379071
115	0.4153197937
116	0.4145246811
117	0.4142291971
118	0.4137151544
119	0.4130929038
120	0.4127496617
121	0.4120377517
122	0.4114613377
123	0.4109627907
124	0.4105804933
125	0.4103389341
126	0.4099499199
127	0.4096884514
128	0.4093649014
129	0.4092058808
130	0.4087949301
131	0.4084185977
132	0.4081004191
133	0.4078911953
134	0.4075097396
135	0.4071419685
136	0.4066046215
137	0.4061835633
138	0.4059567636
139	0.4056467978
140	0.4053771471
141	0.4048882436
142	0.4044034605
143	0.403797337
144	0.403447121
145	0.4029439394
146	0.4027397569
147	0.4025037687
148	0.4023416121
149	0.4020861352
150	0.4018325748
151	0.4015817675
152	0.4011254429
153	0.4009860099
154	0.4007594971
155	0.4004612206
156	0.4002215345
157	0.3996646944
158	0.3995290452
159	0.3992805777
160	0.3989842198
161	0.3986780494
162	0.3979688194
163	0.3976843223
164	0.3974795769
165	0.3971968751
166	0.3969626477
167	0.3965837205
168	0.3963437223
169	0.3960366204
170	0.3955355254
171	0.3953729912
172	0.3951388338
173	0.3944624398
174	0.3939582107
175	0.3938245405
176	0.3933960159
177	0.3928457603
178	0.3926932844
179	0.3925240774
180	0.3920480101
181	0.3919082827
182	0.3914038819
183	0.3912370899
184	0.3907086132
185	0.3904746076
186	0.3902179721
187	0.3897571401
188	0.3895690951
189	0.3893761841
190	0.3891281389
191	0.3889481842
192	0.3882892667
193	0.3878511046
194	0.3875106343
195	0.3873287067
196	0.3869241377
197	0.386437129
198	0.3862293383
199	0.3860846408
200	0.3859755502
201	0.3856457887
202	0.3853079385
203	0.3851812581
204	0.3848464024
205	0.3844534483
206	0.3842685283
207	0.3839593979
208	0.3838381361
209	0.383650029
210	0.3832944511
211	0.3831773162
212	0.3828915215
213	0.3827653287
214	0.382550115
215	0.3824183381
216	0.3822834398
217	0.3819229253
218	0.3816957278
219	0.3815216086
220	0.3813467519
221	0.3812448664
222	0.3811142813
223	0.380614077
224	0.3804939142
225	0.3800613108
226	0.3799482219
227	0.3797082853
228	0.3795186177
229	0.3793366523
230	0.3791564081
231	0.3790764949
232	0.3789167116
233	0.3786739369
234	0.3785158734
235	0.3782813075
236	0.3781057489
237	0.3779685423
238	0.3775219236
239	0.3773839147
240	0.3772238542
241	0.3771568474
242	0.3767910214
243	0.3765922453
244	0.3763852138
245	0.3761965312
246	0.3759593218
247	0.3758714491
248	0.3755714961
249	0.3754145182
250	0.3752531838
251	0.3751309904
252	0.3748278615
253	0.3747158801
254	0.3745886112
255	0.3744184916
256	0.3740984511
257	0.3739386387
258	0.3738260116
259	0.3737003225
260	0.3735204653
261	0.3733155301
262	0.3731228102
263	0.3728957764
264	0.3725811472
265	0.3724775621
266	0.3724002914
267	0.3722403925
268	0.3720551309
269	0.3717570508
270	0.3715775331
271	0.3713293808
272	0.3711536498
273	0.3709997514
274	0.3708839556
275	0.3707461207
276	0.370534627
277	0.3704194725
278	0.3702328298
279	0.3701406194
280	0.3699734826
281	0.3697876684
282	0.3695280652
283	0.3693687087
284	0.3692997479
285	0.3689641155
286	0.3685909895
287	0.3684691756
288	0.3681255008
289	0.3679509632
290	0.3678320078
291	0.3677143751
292	0.367565551
293	0.3674913131
294	0.3673137795
295	0.3670221824
296	0.3669222489
297	0.366751805
298	0.3665685127
299	0.3664506441
300	0.3662713636
301	0.3661683965
302	0.3659936629
303	0.3658421023
304	0.3656740673
305	0.3654099
306	0.3652485451
307	0.365228249
308	0.3651611638
309	0.3650304047
310	0.3649078046
311	0.3647723056
312	0.3646197134
313	0.3644127272
314	0.3642915851
315	0.3641754184
316	0.3640772764
317	0.3639532585
318	0.3638628604
319	0.3637504799
320	0.3636840451
321	0.3635904867
322	0.3634886078
323	0.36318615
324	0.3631011739
325	0.3630062484
326	0.3629174193
327	0.3627946691
328	0.3625677903
329	0.3624196935
330	0.3623303497
331	0.3622309687
332	0.3618776572
333	0.361703202
334	0.3614714791
335	0.3613678381
336	0.3610088639
337	0.3608773395
338	0.3607415237
339	0.3606046282
340	0.3604916308
341	0.360386922
342	0.3603273959
343	0.3599725672
344	0.3598180973
345	0.3596093614
346	0.3595050653
347	0.3594364634
348	0.3593581818
349	0.3592842597
350	0.3590879851
351	0.3589736476
352	0.3587259291
353	0.3586152631
354	0.3585929171
355	0.3584709718
356	0.3584361427
357	0.3583844213
358	0.3583410963
359	0.3580993945
360	0.3580413779
361	0.3577312404
362	0.3576406835
363	0.3576103845
364	0.3573768919
365	0.3572824023
366	0.3572361452
367	0.3568954923
368	0.356808781
369	0.356718921
370	0.3565634818
371	0.3563590928
372	0.3563043615
373	0.3559432035
374	0.3558414806
375	0.3555445185
376	0.3554686375
377	0.3552868546
378	0.3551251137
379	0.3550078131
380	0.3548373531
381	0.3546725969
382	0.3545087373
383	0.3543846983
384	0.3540944272
385	0.3540671096
386	0.3538366138
387	0.3535683386
388	0.3534056015
389	0.353311559
390	0.3531609853
391	0.3530535778
392	0.3529192661
393	0.3528407198
394	0.3526776597
395	0.3525420579
396	0.3523820082
397	0.3523605872
398	0.3523475857
399	0.3522425914
400	0.3519815932
401	0.3517001056
402	0.3516806074
403	0.3516591837
404	0.351471672
405	0.3512172829
406	0.3510436025
407	0.3509690563
408	0.3508592568
409	0.3506201382
410	0.3506174093
411	0.350405251
412	0.3503551131
413	0.3501201583
414	0.3499796583
415	0.349959117
416	0.3496567636
417	0.3494865399
418	0.3493716691
419	0.3492374279
420	0.3492038974
421	0.3490430446
422	0.3487348915
423	0.34857742
424	0.3485011997
425	0.3483074868
426	0.3481904849
427	0.3480223634
428	0.3478839729
429	0.3478112322
430	0.3476787555
431	0.3475855764
432	0.347378515
433	0.3472242584
434	0.347052855
435	0.346933709
436	0.3468740919
437	0.3466595654
438	0.3464499959
439	0.3463915832
440	0.3463051631
441	0.346204902
442	0.3461009166
443	0.345843601
444	0.3458311669
445	0.3458133541
446	0.3455885725
447	0.3454599779
448	0.345369016
449	0.3452839587
450	0.3450386869
451	0.3449104178
452	0.3446506071
453	0.3444820221
454	0.3442554089
455	0.3442413674
456	0.3440546459
457	0.3440112702
458	0.3438631047
459	0.3438150384
460	0.343689348
461	0.3435588608
462	0.3435038583
463	0.3434606976
464	0.3434114327
465	0.3433554292
466	0.3431636495
467	0.3429036995
468	0.3426444588
469	0.3426292568
470	0.3425385849
471	0.3424346684
472	0.3424331041
473	0.342372294
474	0.3422565073
475	0.3421698972
476	0.3420026457
477	0.341875191
478	0.3416322947
479	0.3414672819
480	0.3414145284
481	0.3412706453
482	0.3411880396
483	0.3409459914
484	0.3408597367
485	0.3408364749
486	0.3406270776
487	0.3405095571
488	0.3404371888
489	0.3402852965
490	0.3402692066
491	0.3400933427
492	0.3399896242
493	0.3399885812
494	0.3398882395
495	0.3396891967
496	0.3393769482
497	0.3391978895
498	0.3390229478
499	0.3389024541
500	0.3387852115
501	0.3386715897
502	0.3385835907
503	0.3384988941
504	0.3384925557
505	0.3384263059
506	0.3381890482
507	0.3379841407
508	0.3379161338
509	0.3377954741
510	0.3377848027
511	0.3376771858
512	0.3375672766
513	0.3373948964
514	0.3373204288
515	0.3371840173
516	0.3371668469
517	0.3371582218
518	0.3370631163
519	0.3368195254
520	0.3367644778
521	0.3365813194
522	0.3365793943
523	0.3365629021
524	0.3364904242
525	0.3363973375
526	0.3361563047
527	0.3360348882
528	0.3359285109
529	0.335731578
530	0.3355819809
531	0.3353447103
532	0.335296869
533	0.3352644324
534	0.3350711719
535	0.3350523482
536	0.3348732927
537	0.3347100312
538	0.3346005079
539	0.3345380138
540	0.33448977
541	0.3343997686
542	0.3342702373
543	0.3340432409
544	0.3338316612
545	0.3338303574
546	0.3337681002
547	0.3337212807
548	0.3335689822
549	0.3334021642
550	0.3333901271
551	0.3333313745
552	0.3331864313
553	0.33318246
554	0.3330777106
555	0.332973614
556	0.3329338647
557	0.3327996747
558	0.3327540515
559	0.3326299363
560	0.3326182859
561	0.3326176046
562	0.3324778142
563	0.3324655537
564	0.3322834191
565	0.3321235232
566	0.3319694235
567	0.3319349234
568	0.3318547673
569	0.3317490749
570	0.3316283591
571	0.3315960395
572	0.3315293175
