iter	Passed	Remaining
0	2	2578
1	5	2502
2	8	2511
3	11	2510
4	13	2465
5	16	2464
6	19	2459
7	21	2429
8	24	2397
9	26	2379
10	29	2358
11	31	2361
12	34	2383
13	37	2381
14	40	2368
15	42	2365
16	45	2371
17	48	2379
18	51	2376
19	53	2369
20	56	2363
21	59	2363
22	61	2352
23	64	2343
24	66	2329
25	68	2317
26	71	2317
27	74	2330
28	78	2345
29	80	2343
30	84	2365
31	86	2359
32	89	2351
33	91	2339
34	94	2335
35	96	2326
36	99	2313
37	101	2306
38	103	2294
39	106	2287
40	108	2281
41	111	2284
42	114	2285
43	117	2284
44	120	2280
45	122	2277
46	125	2269
47	127	2263
48	130	2260
49	132	2255
50	134	2245
51	137	2237
52	139	2228
53	142	2225
54	144	2221
55	146	2212
56	149	2204
57	151	2196
58	153	2188
59	155	2179
60	157	2172
61	160	2165
62	162	2156
63	164	2149
64	167	2146
65	169	2140
66	171	2133
67	173	2126
68	176	2120
69	178	2115
70	180	2108
71	182	2101
72	184	2095
73	187	2090
74	189	2083
75	191	2077
76	193	2070
77	195	2064
78	198	2058
79	200	2052
80	202	2045
81	204	2039
82	206	2032
83	208	2025
84	210	2019
85	212	2014
86	214	2007
87	216	2002
88	219	1996
89	220	1988
90	222	1981
91	224	1975
92	226	1969
93	228	1962
94	231	1958
95	233	1952
96	235	1946
97	237	1940
98	238	1933
99	240	1927
100	242	1922
101	244	1914
102	246	1908
103	248	1901
104	250	1895
105	252	1889
106	254	1883
107	256	1878
108	258	1872
109	259	1866
110	261	1860
111	263	1854
112	265	1849
113	267	1843
114	269	1838
115	271	1833
116	273	1828
117	274	1822
118	277	1819
119	279	1814
120	281	1809
121	282	1804
122	284	1799
123	286	1793
124	288	1789
125	290	1784
126	292	1781
127	294	1776
128	296	1772
129	298	1767
130	300	1763
131	302	1758
132	304	1753
133	306	1749
134	308	1745
135	309	1740
136	311	1736
137	313	1731
138	315	1727
139	317	1722
140	319	1718
141	321	1714
142	322	1709
143	324	1705
144	326	1701
145	328	1696
146	330	1693
147	332	1688
148	334	1684
149	336	1680
150	338	1676
151	340	1673
152	341	1669
153	343	1664
154	345	1661
155	347	1657
156	349	1652
157	351	1649
158	352	1644
159	354	1640
160	356	1637
161	358	1634
162	360	1630
163	362	1627
164	364	1623
165	366	1620
166	368	1617
167	371	1616
168	373	1615
169	375	1612
170	377	1610
171	379	1608
172	382	1606
173	384	1602
174	386	1599
175	387	1596
176	389	1592
177	391	1589
178	393	1586
179	395	1583
180	397	1579
181	399	1576
182	401	1573
183	403	1569
184	405	1566
185	407	1563
186	409	1560
187	411	1556
188	412	1553
189	414	1550
190	416	1547
191	418	1543
192	420	1541
193	422	1538
194	424	1534
195	426	1531
196	428	1528
197	430	1526
198	432	1523
199	434	1520
200	436	1518
201	438	1514
202	440	1512
203	442	1509
204	444	1506
205	446	1503
206	448	1500
207	450	1497
208	451	1494
209	453	1491
210	455	1488
211	457	1485
212	459	1483
213	461	1480
214	463	1477
215	465	1475
216	468	1473
217	470	1471
218	472	1470
219	475	1468
220	477	1466
221	479	1464
222	482	1463
223	484	1461
224	486	1459
225	488	1457
226	491	1456
227	493	1454
228	495	1452
229	497	1449
230	500	1448
231	502	1445
232	504	1443
233	506	1441
234	508	1439
235	510	1436
236	512	1433
237	514	1431
238	516	1429
239	518	1426
240	520	1424
241	523	1422
242	525	1421
243	527	1419
244	530	1417
245	532	1415
246	534	1412
247	536	1410
248	538	1408
249	540	1406
250	543	1404
251	545	1401
252	547	1399
253	549	1397
254	551	1394
255	553	1392
256	555	1390
257	558	1389
258	560	1386
259	562	1384
260	564	1382
261	567	1381
262	569	1379
263	571	1376
264	573	1373
265	575	1371
266	577	1368
267	579	1366
268	581	1363
269	583	1361
270	585	1359
271	587	1356
272	589	1354
273	591	1351
274	593	1349
275	596	1347
276	598	1345
277	600	1343
278	602	1340
279	604	1338
280	606	1336
281	609	1334
282	611	1332
283	613	1330
284	615	1328
285	617	1326
286	619	1323
287	621	1320
288	623	1318
289	625	1315
290	627	1312
291	629	1309
292	630	1307
293	632	1304
294	634	1301
295	636	1299
296	638	1296
297	640	1293
298	642	1291
299	644	1288
300	646	1285
301	648	1283
302	650	1281
303	652	1278
304	653	1275
305	655	1273
306	657	1270
307	659	1267
308	661	1265
309	663	1262
310	665	1260
311	667	1258
312	669	1255
313	671	1252
314	673	1250
315	675	1247
316	677	1245
317	679	1242
318	681	1240
319	682	1237
320	684	1235
321	686	1232
322	688	1230
323	690	1228
324	692	1225
325	695	1223
326	697	1221
327	699	1219
328	701	1218
329	704	1216
330	706	1214
331	708	1212
332	711	1210
333	713	1208
334	715	1207
335	717	1204
336	720	1202
337	722	1200
338	724	1198
339	726	1196
340	728	1194
341	730	1192
342	732	1190
343	735	1187
344	737	1185
345	739	1183
346	741	1181
347	743	1179
348	745	1177
349	747	1175
350	749	1173
351	752	1171
352	754	1168
353	756	1166
354	758	1164
355	760	1162
356	762	1160
357	765	1158
358	767	1156
359	769	1154
360	771	1151
361	773	1149
362	775	1147
363	777	1144
364	779	1142
365	781	1140
366	783	1137
367	785	1135
368	787	1133
369	789	1131
370	792	1129
371	793	1126
372	795	1124
373	798	1122
374	800	1120
375	802	1117
376	804	1115
377	806	1113
378	808	1111
379	810	1108
380	812	1106
381	814	1104
382	816	1102
383	818	1099
384	820	1097
385	822	1095
386	824	1093
387	826	1090
388	828	1088
389	830	1086
390	832	1084
391	834	1081
392	836	1079
393	838	1077
394	841	1075
395	842	1072
396	844	1070
397	846	1068
398	848	1065
399	850	1063
400	852	1061
401	854	1058
402	856	1056
403	858	1054
404	861	1053
405	863	1051
406	865	1048
407	868	1046
408	870	1044
409	872	1042
410	874	1040
411	876	1038
412	878	1035
413	880	1034
414	883	1032
415	885	1029
416	887	1027
417	889	1025
418	891	1023
419	893	1021
420	895	1018
421	897	1016
422	899	1014
423	901	1012
424	903	1010
425	905	1007
426	907	1005
427	909	1003
428	912	1001
429	914	999
430	916	997
431	918	995
432	921	993
433	923	991
434	925	989
435	927	987
436	929	985
437	931	983
438	934	980
439	936	978
440	938	976
441	940	974
442	942	972
443	944	970
444	946	968
445	949	966
446	951	964
447	953	961
448	955	959
449	957	957
450	960	955
451	962	953
452	964	951
453	966	949
454	968	947
455	970	944
456	972	942
457	974	940
458	976	938
459	978	935
460	980	933
461	982	931
462	984	928
463	986	926
464	987	924
465	989	921
466	991	919
467	993	917
468	995	914
469	997	912
470	999	910
471	1000	907
472	1002	905
473	1004	903
474	1006	900
475	1008	898
476	1010	896
477	1012	894
478	1014	891
479	1016	889
480	1018	887
481	1020	885
482	1022	883
483	1024	880
484	1026	878
485	1029	876
486	1031	874
487	1033	872
488	1036	870
489	1038	868
490	1040	866
491	1042	864
492	1044	862
493	1046	859
494	1048	857
495	1050	855
496	1052	853
497	1054	851
498	1056	848
499	1058	846
500	1060	844
501	1062	842
502	1064	840
503	1066	837
504	1068	835
505	1070	833
506	1072	831
507	1074	829
508	1076	826
509	1078	824
510	1080	822
511	1082	820
512	1084	818
513	1086	815
514	1088	813
515	1090	811
516	1092	809
517	1094	807
518	1096	804
519	1098	802
520	1100	800
521	1102	798
522	1103	795
523	1105	793
524	1107	791
525	1109	789
526	1111	786
527	1113	784
528	1115	782
529	1117	779
530	1119	777
531	1120	775
532	1122	773
533	1124	770
534	1126	768
535	1128	766
536	1130	763
537	1132	761
538	1134	759
539	1135	757
540	1137	755
541	1139	752
542	1141	750
543	1143	748
544	1145	745
545	1147	743
546	1148	741
547	1150	739
548	1152	736
549	1154	734
550	1156	732
551	1158	730
552	1160	728
553	1162	725
554	1163	723
555	1165	721
556	1167	718
557	1169	716
558	1171	714
559	1172	712
560	1174	709
561	1176	707
562	1178	705
563	1180	703
564	1182	701
565	1184	698
566	1186	696
567	1188	694
568	1190	692
569	1191	690
570	1193	687
571	1195	685
572	1197	683
573	1199	681
574	1201	678
575	1203	676
576	1204	674
577	1206	672
578	1208	670
579	1210	667
580	1212	665
581	1214	663
582	1216	661
583	1218	659
584	1219	656
585	1221	654
586	1223	652
587	1225	650
588	1227	647
589	1229	645
590	1230	643
591	1232	641
592	1234	639
593	1237	637
594	1239	635
595	1241	633
596	1243	631
597	1245	628
598	1246	626
599	1248	624
600	1250	622
601	1252	620
602	1254	617
603	1256	615
604	1258	613
605	1260	611
606	1262	609
607	1264	607
608	1266	605
609	1269	603
610	1271	601
611	1272	598
612	1274	596
613	1276	594
614	1278	592
615	1280	590
616	1281	587
617	1283	585
618	1285	583
619	1287	581
620	1289	579
621	1291	577
622	1293	574
623	1295	572
624	1296	570
625	1298	568
626	1300	566
627	1302	564
628	1304	562
629	1306	559
630	1308	557
631	1310	555
632	1312	553
633	1313	551
634	1315	549
635	1317	546
636	1319	544
637	1321	542
638	1323	540
639	1326	538
640	1327	536
641	1329	534
642	1331	532
643	1333	530
644	1336	528
645	1338	526
646	1340	524
647	1342	521
648	1344	519
649	1346	517
650	1348	515
651	1350	513
652	1352	511
653	1354	509
654	1356	507
655	1358	505
656	1360	503
657	1362	501
658	1364	499
659	1366	497
660	1368	494
661	1369	492
662	1371	490
663	1373	488
664	1375	486
665	1377	484
666	1379	482
667	1381	479
668	1383	477
669	1385	475
670	1387	473
671	1389	471
672	1390	469
673	1392	467
674	1394	464
675	1396	462
676	1398	460
677	1400	458
678	1402	456
679	1404	454
680	1406	452
681	1408	450
682	1410	448
683	1412	445
684	1413	443
685	1415	441
686	1417	439
687	1419	437
688	1420	435
689	1422	433
690	1424	430
691	1426	428
692	1428	426
693	1430	424
694	1432	422
695	1434	420
696	1436	418
697	1438	416
698	1440	414
699	1442	412
700	1443	409
701	1445	407
702	1447	405
703	1449	403
704	1451	401
705	1453	399
706	1455	397
707	1457	395
708	1459	393
709	1461	391
710	1463	389
711	1465	386
712	1467	384
713	1469	382
714	1470	380
715	1472	378
716	1474	376
717	1476	374
718	1478	372
719	1480	370
720	1481	367
721	1483	365
722	1485	363
723	1487	361
724	1489	359
725	1491	357
726	1492	355
727	1494	353
728	1496	351
729	1498	348
730	1500	346
731	1502	344
732	1504	342
733	1505	340
734	1507	338
735	1509	336
736	1511	334
737	1512	332
738	1514	329
739	1516	327
740	1518	325
741	1520	323
742	1521	321
743	1523	319
744	1525	317
745	1527	315
746	1529	313
747	1532	311
748	1534	309
749	1536	307
750	1538	305
751	1540	303
752	1542	301
753	1544	299
754	1546	297
755	1549	295
756	1551	293
757	1553	291
758	1555	289
759	1557	286
760	1559	284
761	1561	282
762	1563	280
763	1565	278
764	1567	276
765	1569	274
766	1571	272
767	1573	270
768	1576	268
769	1577	266
770	1579	264
771	1581	262
772	1582	260
773	1585	258
774	1586	255
775	1588	253
776	1590	251
777	1592	249
778	1594	247
779	1596	245
780	1598	243
781	1600	241
782	1602	239
783	1604	237
784	1606	235
785	1607	233
786	1609	231
787	1611	229
788	1613	227
789	1615	224
790	1617	222
791	1619	220
792	1621	218
793	1623	216
794	1626	214
795	1628	212
796	1630	210
797	1632	208
798	1634	206
799	1635	204
800	1637	202
801	1639	200
802	1641	198
803	1643	196
804	1645	194
805	1647	192
806	1649	190
807	1651	188
808	1653	185
809	1654	183
810	1656	181
811	1658	179
812	1660	177
813	1662	175
814	1664	173
815	1666	171
816	1668	169
817	1670	167
818	1672	165
819	1674	163
820	1675	161
821	1677	159
822	1679	157
823	1681	155
824	1683	153
825	1685	150
826	1687	148
827	1689	146
828	1690	144
829	1692	142
830	1694	140
831	1696	138
832	1698	136
833	1700	134
834	1702	132
835	1704	130
836	1706	128
837	1708	126
838	1710	124
839	1712	122
840	1714	120
841	1716	118
842	1717	116
843	1719	114
844	1721	112
845	1723	110
846	1725	107
847	1727	105
848	1729	103
849	1731	101
850	1733	99
851	1735	97
852	1737	95
853	1739	93
854	1740	91
855	1742	89
856	1744	87
857	1746	85
858	1748	83
859	1750	81
860	1752	79
861	1753	77
862	1755	75
863	1757	73
864	1759	71
865	1760	69
866	1762	67
867	1764	65
868	1766	63
869	1768	60
870	1770	58
871	1772	56
872	1773	54
873	1775	52
874	1777	50
875	1779	48
876	1781	46
877	1783	44
878	1785	42
879	1787	40
880	1789	38
881	1791	36
882	1792	34
883	1794	32
884	1796	30
885	1798	28
886	1800	26
887	1802	24
888	1804	22
889	1806	20
890	1808	18
891	1810	16
892	1812	14
893	1814	12
894	1815	10
895	1817	8
896	1819	6
897	1821	4
898	1823	2
899	1825	0
